issue_id	publish_year	publish_month	publish_date	icon_url	pca 2	pca 3	Hç	L%	S%
277079	2010	5	2010/5	1887123-x_men_deluxe181_icon.jpg	-2.030392459	0.016470358	50.33520001	23.59837255	13.45747505
284114	2010	5	2010/5	1945887-02_icon.jpg	1.013816391	-0.821322583	182.9758065	57.62235294	3.442436357
300389	2010	5	2010/5	2061190-113_icon.jpg	0.724643279	1.447722444	347.6381054	38.33082353	19.29783638
307143	2010	5	2010/5	2128951-xm101_icon.jpg	-0.195137463	0.097470624	32.46859926	47.78215686	8.592509305
324500	2010	5	2010/5	2260948-x_men_extra_comics_volume_79_simple_24512_icon.jpg	1.195870153	0.861348756	90.12717638	42.0454902	6.160461125
206641	2010	6	2010/6	1188039-x_factor_forever_2_icon.jpg	-2.025377884	-0.025613606	42.98356532	30.99907843	15.23720186
206855	2010	6	2010/6	1189349-forever21_icon.jpg	-1.480426795	0.918794576	23.65158843	33.26098039	18.64930349
207755	2010	6	2010/6	1193367-super_hero_squad_4_icon.jpg	0.507736085	1.50007809	45.43532643	47.18688235	26.95951143
208516	2010	6	2010/6	1197925-prv4913_cov_icon.jpg	-1.491307824	0.048993886	90.08760306	35.02360784	4.56297265
210242	2010	6	2010/6	1207900-x_men_icon.jpg	-0.658469195	0.282646246	285.4110115	38.22194118	6.217607277
210889	2010	6	2010/6	1209903-hoh2_icon.jpg	1.104121647	1.31445752	24.14791974	45.40501961	22.74361995
214929	2010	6	2010/6	1234799-wm70th_001a_icon.jpg	-0.298836398	0.473408012	34.27337126	50.4834902	32.00841708
221891	2010	6	2010/6	1281775-x_men_curse_of_the_mutants_saga_1_icon.jpg	3.276317171	-1.124094487	311.0101456	51.21372549	3.644548049
222329	2010	6	2010/6	1285179-avg__tc_icon.jpg	1.543338691	0.600575978	36.99512116	37.605	19.29056159
222365	2010	6	2010/6	1285311-preview_marvel_s__81___page_1_icon.jpg	-1.233901759	-0.291606076	283.4056225	45.58509804	3.213124344
222978	2010	6	2010/6	1288714-spm_icon.jpg	2.343100595	-0.49889869	25.63292793	47.39901961	14.25155646
224101	2010	6	2010/6	1296174-xmn_nr_moc_icon.jpg	0.519619971	0.8326609	19.79462973	46.58737255	27.14208512
232782	2010	6	2010/6	1372814-bish_icon.jpg	6.224103962	-5.24573806	8.788678847	72.20921569	20.04261534
249036	2010	6	2010/6	1560067-e5_icon.jpg	-0.572469536	0.764573645	32.4689399	43.42247059	13.0335518
251532	2010	6	2010/6	1585032-713259_icon.jpg	-0.995106144	0.136484975	18.16236928	31.29164706	15.6992344
275713	2010	6	2010/6	1871912-na5_icon.jpg	4.199815486	-3.027610703	33.61430531	38.76941176	19.17622545
277080	2010	6	2010/6	1887138-x_men_deluxe182_icon.jpg	-1.876773429	-0.149453447	304.8645026	29.58205882	4.747511906
221765	2010	6	2010/6	1910545-necrosha_hc_icon.png	0.10980869	0.485160779	37.0955828	48.42627451	16.444646
284115	2010	6	2010/6	1945888-03_icon.jpg	-1.089165514	-0.0807653	54.65446336	32.16672549	3.483260927
292837	2010	6	2010/6	2007416-54_icon.jpg	0.723735957	1.225196105	21.67178815	48.17547059	38.05333363
300467	2010	6	2010/6	2061459-54_icon.jpg	-1.112738111	-0.470318549	207.804878	50.36705882	0.712682911
307144	2010	6	2010/6	2128952-xm102_icon.jpg	0.068606059	0.788718218	26.86264719	36.98266667	27.39407332
211929	2010	7	2010/7	1216797-uncanny_524_icon.jpg	-1.241880048	-0.485982764	14.299232	41.96368627	14.94251799
211930	2010	7	2010/7	1216802-hellbound_icon.jpg	-2.487087837	-0.834820836	12.11380665	27.99129412	20.43758704
213448	2010	7	2010/7	1225321-astonishing_icon.jpg	-3.083341118	-3.766929717	14.7385103	50.31254902	2.490075215
213470	2010	7	2010/7	1225571-incredible_hulk_609_icon.jpg	-0.79165858	0.35947508	192.4924618	33.27580392	25.36577835
213840	2010	7	2010/7	1227909-x_men_forever_23_icon.jpg	2.515921459	-0.608030631	286.4764045	72.42235294	3.163971958
213441	2010	7	2010/7	1228590-hulk_22_icon.jpg	-2.48001451	-0.315445247	1.138735174	28.01843137	27.87268885
214734	2010	7	2010/7	1233389-xmen236_dc11_lr_0001_icon.jpg	-1.70221877	-0.454626677	354.5336174	39.77623529	36.14001463
216227	2010	7	2010/7	1242527-doomwar_4_icon.jpg	-0.812655306	0.317920837	24.52160173	34.67401961	4.079847317
216366	2010	7	2010/7	1243705-emma_frost__kingpin__pg01_icon.jpg	1.803855766	0.367262685	204.4530024	56.10817647	43.81373457
216898	2010	7	2010/7	1287311-marvel_previews_82_000_icon.jpg	-1.284382795	-0.020197155	29.56134648	44.85884314	50.22460433
228145	2010	7	2010/7	1326988-fall_of_the_hulks_red_hulk_trade_cover_icon.jpg	-0.959104302	1.12500673	16.41003432	26.03545098	56.34489324
231170	2010	7	2010/7	1351923-xmn_pwl_icon.jpg	-5.582888362	-4.734564244	24.0507876	17.28054902	50.69759948
231857	2010	7	2010/7	1358469-wom_handbook_take2_icon.jpg	-0.605015206	1.047278497	340.2297901	43.61460784	17.9601186
232978	2010	7	2010/7	1374076-rok_icon.jpg	-2.560683016	-0.333370239	21.39748457	25.739	15.51189962
251566	2010	7	2010/7	1585072-753247_icon.jpg	-0.593628504	0.520631466	29.75612433	45.25345098	14.20990101
277081	2010	7	2010/7	1887147-x_men_deluxe183_icon.jpg	-1.000979226	0.247009791	15.47892232	45.02754902	23.92935915
224540	2010	7	2010/7	1923585-atlas_icon.jpg	-0.362452482	0.733846976	346.0107817	43.63764706	10.0021568
284116	2010	7	2010/7	1945889-04_icon.jpg	-1.17092727	0.376283921	39.014252	27.05884314	11.88238269
221500	2010	7	2010/7	1991339-01_icon.jpg	-0.0966297	0.939409642	116.488426	48.11745098	14.593784
292838	2010	7	2010/7	2007417-55_icon.jpg	-1.724595441	-0.368995984	339.5414234	40.4132549	18.5788394
300391	2010	7	2010/7	2061192-115_icon.jpg	0.397229144	0.723119321	357.4173135	44.59480392	21.60917367
307145	2010	7	2010/7	2128954-xm103_icon.jpg	-0.91816585	-0.439500263	35.03936817	31.75617647	7.645941966
214828	2010	7	2010/7	2198645-x_men_forever__24__2010__icon.jpg	-0.844178205	0.535733881	7.877871942	37.98276471	8.095467449
215972	2010	7	2010/7	2205137-27a_icon.jpg	-1.987346369	-0.973606643	7.817938331	43.81154902	13.46815617
217590	2010	8	2010/8	1252170-darkandwg1_icon.jpg	0.529041777	0.429783769	17.27493917	54.21078431	7.91992292
217901	2010	8	2010/8	1254867-x_men_forever_giant_size_1_icon.jpg	-0.357308856	0.686137829	212.0692533	42.80801961	9.714644819
218295	2010	8	2010/8	1257581-astonishing2c_icon.jpg	-1.433373833	-0.034807476	31.25358433	42.76264706	10.47391094
218594	2010	8	2010/8	1259869-03b99507_743c_4386_abe3_295a03a45775_icon.jpg	-0.379967744	-0.072723736	29.5402143	54.63823529	15.93507532
219419	2010	8	2010/8	1266016-newmutants14a_icon.jpg	-2.034580696	-0.627473825	358.6495116	37.46688235	8.342478665
219503	2010	8	2010/8	1266319-xff_04_001_icon.jpg	-2.513928875	-0.348834859	31.37289028	34.02188235	30.19994052
219571	2010	8	2010/8	1266812-incrediblehulk610_icon.jpg	-0.88687963	0.294526112	58.10835184	33.21115686	9.754635963
220732	2010	8	2010/8	1273924-prv5511_cov_icon.jpg	-1.811303533	-0.267880171	29.29344507	36.34813725	36.65883571
221150	2010	8	2010/8	1277156-marvel_adventures_spider_man_3_icon.jpg	-0.300353595	0.298206667	235.5925451	33.31588235	17.90525628
221757	2010	8	2010/8	1281097-astonishing34a_icon.jpg	-1.38598399	0.209178401	226.2855012	12.82021569	7.383100526
222098	2010	8	2010/8	1283894-doomwar_5_icon.jpg	-2.327594381	-1.123410346	29.73581694	45.96607843	13.03049563
231153	2010	8	2010/8	1351887-xfc_sc_icon.jpg	3.734591975	-1.127794528	334.0288925	39.67252941	2.678842821
231976	2010	8	2010/8	1358954-ult2_uc_icon.jpg	0.430467292	0.692748138	356.3622006	50.95862745	4.556776791
232925	2010	8	2010/8	1373416-we_are_the_x_men_icon.jpg	0.969048926	0.149729706	3.078987087	62.89333333	12.6038342
246749	2010	8	2010/8	1532051-xmn_frv__diawd_icon.jpg	1.041791664	-0.621219179	349.1310202	62.07568627	9.983765394
266224	2010	8	2010/8	1727709-03_icon.jpg	0.740822364	-0.766341893	333.6071456	61.86529412	6.735154535
277082	2010	8	2010/8	1887168-x_men_deluxe184_icon.jpg	-0.704813366	-1.375433498	4.083632228	55.87568627	10.1593537
284117	2010	8	2010/8	1945890-05_icon.jpg	0.401507889	0.530909952	74.71717756	43.13137255	7.860162749
306224	2010	8	2010/8	2119823-6_17_163_1_icon.jpg	3.198102553	-1.714337662	83.08641975	51.83333333	7.122328516
