issue_id	publish_year	publish_month	publish_date	icon_url	HÁ	L%	S%
107611	2007	6	2007/6	170434-18078-107611-15-new-x-men-vol-2_icon.jpg	20	46	24
275087	2007	6	2007/6	1866867-22_icon.jpg	242	35	4
275916	2007	6	2007/6	1873851-x_men_deluxe146_icon.jpg	147	51	5
108003	2007	6	2007/6	2029168-01a_icon.jpg	22	34	28
300005	2007	6	2007/6	2059613-66_icon.jpg	23	37	26
300354	2007	6	2007/6	2061143-78_icon.jpg	268	84	8
107615	2007	7	2007/7	118993-18078-107615-7-new-x-men-vol-2_icon.jpg	31	38	45
275088	2007	7	2007/7	1866868-23_icon.jpg	2	43	14
275917	2007	7	2007/7	1873877-x_men_deluxe147_icon.jpg	38	47	60
300006	2007	7	2007/7	2059614-67_icon.jpg	6	39	14
300166	2007	7	2007/7	2060329-126_icon.jpg	24	48	17
300538	2007	7	2007/7	2061660-67_icon.jpg	21	39	59
107619	2007	8	2007/8	135170-18078-107619-12-new-x-men-vol-2_icon.jpg	27	45	24
111036	2007	8	2007/8	140924-18786-111036-1-world-war-hulk-x-me_icon.jpg	28	42	29
275089	2007	8	2007/8	1866869-24_icon.jpg	337	41	14
276861	2007	8	2007/8	1885454-x_men_deluxe148_icon.jpg	31	61	12
284008	2007	8	2007/8	1945638-27a_icon.jpg	27	68	14
300007	2007	8	2007/8	2059617-68_icon.jpg	39	43	10
300167	2007	8	2007/8	2060330-127_icon.jpg	357	39	16
111339	2007	9	2007/9	146793-18671-111339-1-new-warriors_icon.jpg	100	33	2
109760	2007	9	2007/9	153149-18078-109760-3-new-x-men-vol-2_icon.JPG	31	36	17
111708	2007	9	2007/9	154922-18786-111708-1-world-war-hulk-x-me_icon.jpg	70	28	17
111931	2007	9	2007/9	157524-10731-111931-1-x-men_icon.jpg	36	63	10
275090	2007	9	2007/9	1866870-25_icon.jpg	65	40	6
276862	2007	9	2007/9	1885478-x_men_deluxe149_icon.jpg	48	39	3
284009	2007	9	2007/9	1945639-28a_icon.jpg	5	49	12
284103	2007	9	2007/9	1945863-06_icon.jpg	14	59	7
289839	2007	9	2007/9	1983643-x_men207_icon.jpg	50	40	65
114946	2007	9	2007/9	199344-10731-114946-2-x-men_icon.jpg	340	22	19
300008	2007	9	2007/9	2059631-69_icon.jpg	311	40	8
300168	2007	9	2007/9	2060331-128_icon.jpg	307	40	9
300357	2007	9	2007/9	2061150-81_icon.jpg	76	41	45
300434	2007	9	2007/9	2061407-21_icon.jpg	358	30	4
186405	2008	1	2008/1	1051959-warsong_icon.jpg	25	43	16
275094	2008	1	2008/1	1866875-29_icon.jpg	32	27	7
300012	2008	1	2008/1	2059673-73_icon.jpg	50	42	50
300169	2008	1	2008/1	2060332-132_icon.jpg	343	40	11
300544	2008	1	2008/1	2061669-73_icon.jpg	359	42	9
118081	2008	1	2008/1	235808-18078-118081-1-new-x-men_icon.jpg	7	26	23
118499	2008	1	2008/1	243524-10731-118499-1-x-men_icon.jpg	34	22	14
275104	2008	10	2008/10	1866884-38_icon.jpg	357	36	8
277014	2008	10	2008/10	1886573-x_men_deluxe162_icon.jpg	45	39	22
289877	2008	10	2008/10	1984006-x_men220_icon.jpg	22	37	26
297548	2008	10	2008/10	2050015-6_21_41_1_icon.jpg	26	35	22
300021	2008	10	2008/10	2059685-82_icon.jpg	9	23	12
300370	2008	10	2008/10	2061166-94_icon.jpg	15	31	21
306205	2008	10	2008/10	2119802-6_17_141_1_icon.jpg	21	28	36
151428	2008	10	2008/10	701806-muaz5_icon.jpg	34	52	16
183107	2008	11	2008/11	1862089-tpb_icon.jpg	355	30	10
277017	2008	11	2008/11	1886592-x_men_deluxe163_icon.jpg	356	33	6
297566	2008	11	2008/11	2050067-6_21_42_1_icon.jpg	20	30	30
300022	2008	11	2008/11	2059687-83_icon.jpg	22	50	8
300371	2008	11	2008/11	2061168-95_icon.jpg	20	43	25
137373	2008	11	2008/11	528159-2mevg4z_icon.jpg	4	32	33
138410	2008	11	2008/11	537785-0003_icon.jpg	349	37	24
139330	2008	11	2008/11	556544-0002_icon.jpg	16	51	5
153210	2008	11	2008/11	730019-marvel7page1_25_1_icon.jpg	341	52	7
186300	2008	12	2008/12	1051154-axm_hc2_icon.jpg	39	30	15
277030	2008	12	2008/12	1886641-x_men_deluxe164_icon.jpg	12	50	27
284023	2008	12	2008/12	1945662-43_icon.jpg	9	35	19
300023	2008	12	2008/12	2059688-84_icon.jpg	207	29	5
189762	2008	2	2008/2	1074279-es_icon.jpg	171	32	13
171669	2008	2	2008/2	1177822-nw_icon.jpg	33	42	17
275095	2008	2	2008/2	1866876-30_icon.jpg	27	38	15
276876	2008	2	2008/2	1885590-x_men_deluxe154_icon.jpg	3	22	32
300013	2008	2	2008/2	2059675-74_icon.jpg	257	52	3
300170	2008	2	2008/2	2060333-133_icon.jpg	10	43	20
119231	2008	2	2008/2	249605-3092-119231-1-the-uncanny-x-men_icon.jpg	15	23	33
120242	2008	2	2008/2	259011-18078-120242-1-new-x-men_icon.jpg	356	30	35
276967	2008	3	2008/3	1886361-x_men_deluxe155_icon.jpg	7	12	10
300171	2008	3	2008/3	2060334-134_icon.jpg	311	35	22
121611	2008	3	2008/3	281680-18078-121611-1-new-x-men_icon.jpg	333	30	20
275097	2008	4	2008/4	1866878-32_icon.jpg	35	34	7
276972	2008	4	2008/4	1886370-x_men_deluxe156_icon.jpg	30	44	40
284016	2008	4	2008/4	1945647-35a_icon.jpg	38	31	48
289862	2008	4	2008/4	1983754-x_men214_icon.jpg	11	28	22
291771	2008	4	2008/4	1999838-73_icon.jpg	26	40	43
300014	2008	4	2008/4	2059676-75_icon.jpg	135	31	5
300441	2008	4	2008/4	2061426-28_icon.jpg	266	50	3
127499	2008	4	2008/4	356631-21203-127499-1-x-men-divided-we-st_icon.JPG	352	37	4
186637	2008	5	2008/5	1053905-wwhxmen_icon.jpg	95	34	14
264831	2008	5	2008/5	1699704-164_icon.jpg	21	38	8
275099	2008	5	2008/5	1866879-33_icon.jpg	6	31	5
276983	2008	5	2008/5	1886395-x_men_deluxe157_icon.jpg	9	38	70
284017	2008	5	2008/5	1945649-36a_icon.jpg	94	28	23
300015	2008	5	2008/5	2059678-76_icon.jpg	245	42	4
300016	2008	5	2008/5	2059679-77_icon.jpg	344	34	16
300173	2008	5	2008/5	2060337-136_icon.jpg	26	30	39
300442	2008	5	2008/5	2061427-29_icon.jpg	43	38	5
264817	2008	6	2008/6	1699649-165_icon.jpg	350	49	14
275100	2008	6	2008/6	1866880-34_icon.jpg	43	66	14
277003	2008	6	2008/6	1886432-x_men_deluxe158_icon.jpg	37	36	39
284018	2008	6	2008/6	1945656-37_icon.jpg	82	47	5
300017	2008	6	2008/6	2059680-78_icon.jpg	15	38	17
300443	2008	6	2008/6	2061429-30_icon.jpg	357	23	12
306201	2008	6	2008/6	2119798-6_17_137_1_icon.jpg	46	43	29
275101	2008	7	2008/7	1866881-35_icon.jpg	124	51	2
277009	2008	7	2008/7	1886470-x_men_deluxe159_icon.jpg	122	29	14
289871	2008	7	2008/7	1983976-x_men217_icon.jpg	51	46	29
300018	2008	7	2008/7	2059681-79_icon.jpg	188	31	26
300366	2008	7	2008/7	2061161-90_icon.jpg	195	45	8
300367	2008	7	2008/7	2061162-91_icon.jpg	39	41	39
300550	2008	7	2008/7	2061678-79_icon.jpg	36	32	40
300578	2008	7	2008/7	2061718-18_icon.jpg	55	32	36
306202	2008	7	2008/7	2119799-6_17_138_1_icon.jpg	35	28	14
130517	2008	7	2008/7	393493-21203-130517-1-x-men-divided-we-st_icon.jpg	346	59	4
185347	2008	8	2008/8	1044009-dividedwestand_icon.jpg	131	41	5
251489	2008	8	2008/8	1584771-wd154_icon.jpg	12	40	13
275102	2008	8	2008/8	1866882-36_icon.jpg	12	31	14
277010	2008	8	2008/8	1886482-x_men_deluxe160_icon.jpg	47	44	14
291773	2008	8	2008/8	1999840-75_icon.jpg	190	25	33
300019	2008	8	2008/8	2059683-80_icon.jpg	204	45	9
300445	2008	8	2008/8	2061431-32_icon.jpg	38	28	11
300551	2008	8	2008/8	2061679-80_icon.jpg	188	43	1
306203	2008	8	2008/8	2119800-6_17_139_1_icon.jpg	30	52	19
251899	2008	9	2008/9	1586430-155_icon.jpg	330	61	7
275103	2008	9	2008/9	1866883-37_icon.jpg	2	24	11
277011	2008	9	2008/9	1886521-x_men_deluxe161_icon.jpg	27	45	34
292815	2008	9	2008/9	2007394-33_icon.jpg	9	23	16
300020	2008	9	2008/9	2059684-81_icon.jpg	76	37	4
300369	2008	9	2008/9	2061164-93_icon.jpg	86	29	24
300552	2008	9	2008/9	2061680-81_icon.jpg	3	43	58
160956	2009	-1	2009/-1	846293-marvel_9_icon.jpg	14	36	10
