Multiplicity_(1996),Harold_Ramis,Michael_Keaton,Andie_MacDowell,Zack_Duhame,Katie_Schlossberg,
The_Nutty_Professor_(1996),Tom_Shadyac,Eddie_Murphy,Jada_Pinkett_Smith,James_Coburn,Larry_Miller,
Phenomenon_(1996),Jon_Turteltaub,John_Travolta,Kyra_Sedgwick,Forest_Whitaker,Robert_Duvall,
Flubber_(1997),Les_Mayfield,Robin_Williams,Marcia_Gay_Harden,Christopher_McDonald,Ted_Levine,
Mimic_(1997),Guillermo_del_Toro,Mira_Sorvino,Jeremy_Northam,Alexander_Goodwin,Giancarlo_Giannini,
The_Postman_(1997),Kevin_Costner,Kevin_Costner,Will_Patton,Larenz_Tate,Olivia_Williams,
RocketMan_(1997),Stuart_Gillard,Harland_Williams,Jessica_Lundy,William_Sadler,Jeffrey_DeMunn,
Steel_(1997),Kenneth_Johnson,Shaquille_O'Neal,Annabeth_Gish,Judd_Nelson,Richard_Roundtree,
Turbo:_A_Power_Rangers_Movie_(1997),Shuki_Levy,David_Winning,Jason_David_Frank,Catherine_Sutherland,Hilary_Shepard,Jon_Simanton
Volcano_(1997),Mick_Jackson,Tommy_Lee_Jones,Anne_Heche,Gaby_Hoffmann,Don_Cheadle,
The_Avengers_(1998),Jeremiah_Chechik,Ralph_Fiennes,Uma_Thurman,Sean_Connery,Patrick_Macnee,
Disturbing_Behavior_(1998),David_Nutter,James_Marsden,Katie_Holmes,Nick_Stahl,Tobias_Mehler,
Lost_in_Space_(1998),Stephen_Hopkins,Gary_Oldman,William_Hurt,Matt_LeBlanc,Mimi_Rogers,
Mighty_Joe_Young_(1998),Ron_Underwood,Bill_Paxton,Charlize_Theron,Rade_Serbedzija,Peter_Firth,
Phantoms_(1998),Joe_Chappelle,Peter_O'Toole,Rose_McGowan,Joanna_Going,Liev_Schreiber,
Small_Soldiers_(1998),Joe_Dante,Kirsten_Dunst,Gregory_Smith,David_Cross,Jay_Mohr,
Soldier_(1998),Paul_Anderson,Kurt_Russell,Jason_Scott_Lee,Jason_Isaacs,Connie_Nielsen,
Baby_Geniuses_(1999),Bob_Clark,Kathleen_Turner,Christopher_Lloyd,Kim_Cattrall,Peter_MacNicol,
Bicentennial_Man_(1999),Chris_Columbus,Robin_Williams,Embeth_Davidtz,Sam_Neill,Oliver_Platt,
Blast_from_the_Past_(1999),Hugh_Wilson,Brendan_Fraser,Alicia_Silverstone,Christopher_Walken,Sissy_Spacek,
Inspector_Gadget_(1999),David_Kellogg,Matthew_Broderick,Rupert_Everett,Joely_Fisher,Michelle_Trachtenberg,
Lake_Placid_(1999),Steve_Miner,Bridget_Fonda,Bill_Pullman,Oliver_Platt,Brendan_Gleeson,
Muppets_from_Space_(1999),Tim_Hill,Dave_Goelz,Steve_Whitmire,Bill_Barretta,Jerry_Nelson,
My_Favorite_Martian_(1999),Donald_Petrie,Christopher_Lloyd,Jeff_Daniels,Elizabeth_Hurley,Daryl_Hannah,
Mystery_Men_(1999),Kinka_Usher,Ben_Stiller,Janeane_Garofalo,William_H._Macy,Hank_Azaria,
Pokí©mon:_The_First_Movie_-_Mewtwo_Strikes_Back_(1998),Kunihiko_Yuyama,Michael_Haigney,Veronica_Taylor,Rachael_Lillis,Eric_Stuart,Philip_Bartlett
The_Thirteenth_Floor_(1999),Josef_Rusnak,Craig_Bierko,Gretchen_Mol,Armin_Mueller-Stahl,Vincent_D'Onofrio,
Virus_(1999),John_Bruno,Jamie_Lee_Curtis,William_Baldwin,Donald_Sutherland,Joanna_Pacula,
Wild_Wild_West_(1999),Barry_Sonnenfeld,Will_Smith,Kevin_Kline,Kenneth_Branagh,Salma_Hayek,
Wing_Commander_(1999),Chris_Roberts,Freddie_Prinze,Matthew_Lillard,Saffron_Burrows,TchŽky_Karyo,
Mission_to_Mars_(2000),Brian_De_Palma,Tim_Robbins,Gary_Sinise,Don_Cheadle,Connie_Nielsen,
Nutty_Professor_II:_The_Klumps_(2000),Peter_Segal,Eddie_Murphy,Janet_Jackson,Larry_Miller,John_Ales,
Titan_A.E._(2000),Don_Bluth,Gary_Goldman,Matt_Damon,Drew_Barrymore,Bill_Pullman,John_Leguizamo
Evolution_(2001),Ivan_Reitman,David_Duchovny,Orlando_Jones,Julianne_Moore,Seann_William_Scott,
