issue_id	publish_year	publish_month	icon_url	"Character Id: 1464, Name: Iceman"	Number of Issues: 3517
20090	1980	1	17956-3001-20090-1-amazing-adventures_icon.jpg		
251070	1980	1	1582108-47_icon.jpg		
251071	1980	1	1582112-48_icon.jpg		
20185	1980	2	18045-2918-20185-1-what-if-_icon.jpg		
20157	1980	2	18017-3001-20157-1-amazing-adventures_icon.jpg		
20232	1980	3	18081-3001-20232-1-amazing-adventures_icon.jpg		
20301	1980	4	18143-3001-20301-1-amazing-adventures_icon.jpg		
66597	1980	4	50788-3003-66597-1-fantasy-masterpieces_icon.jpg		
20378	1980	5	18212-3001-20378-1-amazing-adventures_icon.jpg		
20444	1980	6	18270-3001-20444-1-amazing-adventures_icon.jpg		
190796	1980	6	1082673-128509_20080514055446_large_icon.jpg		
20519	1980	7	18338-3001-20519-1-amazing-adventures_icon.jpg		
20582	1980	8	18400-3001-20582-1-amazing-adventures_icon.jpg		
20653	1980	9	18464-3001-20653-1-amazing-adventures_icon.jpg		
20751	1980	10	18554-2133-20751-1-x-men_icon.jpg		
20721	1980	10	18524-3001-20721-1-amazing-adventures_icon.jpg		
20786	1980	11	18585-3001-20786-1-amazing-adventures_icon.jpg		
20850	1980	12	18644-3001-20850-1-amazing-adventures_icon.jpg		
239649	1981	-1	1475048-star_heroes20_icon.jpg		
290036	1981	-1	1984367-x_menpocketbook19_icon.jpg		
290032	1981	-1	1984362-x_men_pocketbook_18_icon.jpg		
290035	1981	-1	1984366-x_menpocketbook17_icon.jpg		
290034	1981	-1	1984364-x_menpocketbook16_icon.jpg		
290033	1981	-1	1984363-x_menpocketbook15_icon.jpg		
20960	1981	1	18744-3001-20960-1-amazing-adventures_icon.jpg		
20988	1981	1	18772-2133-20988-1-x-men_icon.jpg		
107059	1981	4	99607-3092-107059-1-uncanny-x-men-the_icon.jpg		
21258	1981	5	19030-3092-21258-1-uncanny-x-men-the_icon.jpg		
21320	1981	6	19089-3092-21320-1-uncanny-x-men-the_icon.jpg		
21307	1981	6	2298127-4_16_2012_006_icon.jpg		
21393	1981	7	19159-2918-21393-1-what-if-_icon.jpg		
21368	1981	7	19134-3082-21368-1-bizarre-adventures_icon.jpg		
69848	1981	7	52056-2353-69848-1-marvel-super-heroes_icon.jpg		
21392	1981	7	19158-3092-21392-1-uncanny-x-men-the_icon.jpg		
21505	1981	9	19261-2128-21505-1-avengers-the_icon.jpg		
128107	1981	9	363227-3088-128107-1-marvel-super-heroes_icon.jpg		
21531	1981	9	19286-3092-21531-1-uncanny-x-men-the_icon.jpg		
21615	1981	10	1945567-whatif29_icon.jpg		
21722	1981	12	19460-2400-21722-1-captain-america_icon.jpg		
156077	1981	12	1772215-spider_man_and_his_amazing_friends__1981__1_icon.jpeg		
202015	1982	1	1165260-fant1_icon.jpg		
141651	1982	1	611106-crazy_82_icon.jpg		
214389	1982	1	1230699-cs_1_icon.jpg		
21953	1982	2	2031904-tumblr_lptk1ti5vi1qapxjho1_500_icon.jpg		
22013	1982	3	19728-3143-22013-1-marvel-fanfare_icon.jpg		
140483	1982	3	585196-1_icon.jpg		
114149	1982	5	189121-19100-114149-1-fantastic-four-roast_icon.jpg		
22234	1982	6	19929-3147-22234-1-marvel-super-hero-co_icon.jpg		
112838	1982	8	1946531-whatifcvr_icon.jpg		
290037	1982	8	1984368-x_menpocketbook28_icon.jpg		
21793	1982	10	19522-3144-21793-1-marvel-graphic-novel_icon.jpg		
22612	1982	11	20271-3155-22612-1-vision-and-the-scarl_icon.jpg		
169712	1983	-1	944336-imagehandler.ashx_icon.jpeg		
22723	1983	0	20368-2863-22723-1-marvel-team-up-annua_icon.jpg		
22792	1983	1	1958257-8430b55b_c79f_40f6_bade_0ebf7324f58d_icon.jpg		
217546	1983	1	1251894-marvel_no_prize_book_v1_001_icon.jpg		
315072	1983	1	2192898-1_icon.jpg		
22884	1983	2	20517-2918-22884-1-what-if-_icon.jpg		
68383	1983	3	51398-3237-68383-1-official-handbook-of_icon.jpg		
68384	1983	5	51400-3237-68384-1-official-handbook-of_icon.jpg		
23280	1983	7	20872-2127-23280-1-amazing-spider-man-_icon.jpg		
23368	1983	8	20953-2569-23368-1-defenders-the_icon.jpg		
23363	1983	8	20948-2128-23363-1-avengers-the_icon.jpg		
23377	1983	8	20962-3143-23377-1-marvel-fanfare_icon.jpg		
23449	1983	9	21027-2569-23449-1-defenders-the_icon.jpg		
23537	1983	10	21107-2569-23537-1-defenders-the_icon.jpg		
23622	1983	11	21186-2569-23622-1-defenders-the_icon.jpg		
68391	1983	12	51414-3237-68391-1-official-handbook-of_icon.jpg		
23743	1983	12	21301-3092-23743-1-uncanny-x-men-the_icon.jpg		
23720	1983	12	21278-2569-23720-1-defenders-the_icon.jpg		
23744	1983	12	21302-2918-23744-1-what-if-_icon.jpg		
23726	1983	12	21284-3225-23726-1-hawkeye_icon.jpg		
23871	1984	1	21410-2569-23871-1-defenders-the_icon.jpg		
23973	1984	2	21500-2569-23973-1-defenders-the_icon.jpg		
125775	1984	2	335765-3237-125775-1-official-handbook-of_icon.jpg		
24090	1984	3	21600-2569-24090-1-defenders-the_icon.jpg		
24196	1984	4	21692-2569-24196-1-defenders-the_icon.jpg		
24301	1984	5	2031536-417d2356_7524_496a_8cbe_2590e6219624_icon.jpg		
24401	1984	6	21873-2569-24401-1-defenders-the_icon.jpg		
24501	1984	7	21960-2569-24501-1-defenders-the_icon.jpg		
24597	1984	8	22046-2569-24597-1-defenders-the_icon.jpg		
