Id,mod_t1,mod_t2,mod_t3,mod_t4,mod_t5,mod_t6,mod_t7,mod_t8,mod_t9,mod_t10
420,3,3,3,3,3,3,3,3,3,220
421,3,3,3,3,3,3,3,3,3,218
422,0,0,0,0,0,0,0,0,1,175
423,3,3,0,3,3,3,3,3,3,218
424,3,3,3,3,3,3,3,3,3,221
425,3,3,3,3,3,3,3,3,3,213
426,3,3,0,1,3,2,1,3,1,213
427,3,3,0,3,3,3,3,3,3,262
428,1,1,1,1,1,1,1,1,1,100
429,1,1,1,1,1,1,1,1,1,222
430,3,3,0,3,3,3,3,3,3,262
431,0,0,0,0,0,0,0,2,1,223
432,1,1,1,1,1,1,1,1,1,100
433,0,0,0,0,0,0,0,0,0,224
434,0,0,0,0,0,1,2,2,1,225
435,0,0,0,0,0,0,0,2,0,226
436,3,3,0,1,1,2,1,3,3,227
437,0,0,0,0,0,0,0,0,1,228
438,3,3,0,3,3,3,3,3,3,262
439,1,1,1,1,1,1,1,1,1,229
440,3,3,0,3,3,1,3,2,1,218
441,3,3,0,3,3,0,3,2,1,213
442,3,3,0,3,3,3,3,3,1,114
443,1,1,1,1,1,1,1,1,3,230
444,1,1,1,1,1,1,1,1,1,231
445,0,0,0,0,0,0,0,2,0,232
446,1,1,1,1,1,1,1,1,1,233
447,1,1,1,1,1,1,1,1,1,234
448,0,0,0,0,0,0,0,0,0,235
449,1,1,1,1,1,1,1,1,1,236
450,1,1,1,1,1,1,1,1,2,237
451,0,0,0,0,0,0,0,0,0,238
452,1,1,1,1,1,1,1,1,1,109
453,3,3,3,3,3,3,3,3,3,216
454,3,3,3,3,3,3,3,3,3,239
455,3,3,3,3,3,3,0,1,3,240
456,3,3,3,3,3,3,3,3,3,241
457,2,2,2,2,2,2,1,3,2,242
458,2,2,2,2,2,2,2,2,2,243
459,2,2,2,2,2,2,2,2,2,244
460,2,2,2,2,2,2,2,2,2,245
461,2,2,2,2,2,2,2,2,2,246
462,2,2,2,2,2,2,2,2,2,247
463,3,3,3,3,3,3,3,3,3,248
464,3,3,3,3,3,3,3,3,3,260
465,3,3,3,3,3,3,0,1,3,93
466,3,3,3,3,3,3,3,3,3,216
467,1,1,1,1,1,1,1,1,1,114
468,1,1,1,1,1,1,1,1,1,249
469,1,1,1,1,1,1,1,1,1,250
470,1,1,1,1,1,1,1,1,1,251
471,1,1,1,1,1,1,1,1,1,252
472,1,1,1,1,1,1,1,1,1,253
473,3,3,3,3,3,3,3,3,3,254
474,3,3,3,3,3,3,3,3,3,262
475,3,3,3,3,3,3,3,3,3,255
476,3,3,3,3,3,3,3,3,3,256
477,3,3,3,3,3,3,3,3,3,257
478,3,3,3,3,3,3,3,3,3,260
479,3,3,3,3,3,3,3,3,3,258
480,3,3,3,3,3,3,3,3,3,259
481,3,3,3,3,3,3,3,3,3,260
482,3,3,3,3,3,3,3,3,3,260
483,0,0,0,0,0,0,0,0,1,262
484,0,0,0,0,0,0,0,0,0,261
485,0,0,0,0,0,0,0,0,0,129
486,0,0,0,0,0,0,0,0,0,262
487,3,3,3,3,3,3,3,3,3,213
488,3,3,3,3,3,3,3,3,3,254
489,3,3,3,3,3,3,3,3,3,260
490,3,3,3,3,3,3,3,3,3,262
491,3,3,3,3,3,3,3,3,3,260
492,0,0,0,0,0,0,0,0,0,216
493,0,0,0,0,0,0,0,0,0,262
494,0,0,0,0,0,0,0,0,0,262
495,0,0,0,0,0,0,0,0,2,262
496,3,3,3,3,3,3,3,3,3,254
497,3,3,3,3,3,3,3,3,3,262
498,3,3,3,3,3,3,3,3,3,262
499,3,3,3,3,3,3,3,3,3,262
500,1,1,3,1,1,1,1,1,1,114
501,3,3,3,3,3,3,3,3,3,218
502,3,3,3,3,3,3,3,3,0,218
503,3,3,3,3,3,3,3,3,3,263
504,3,3,3,3,3,3,3,3,3,264
505,3,3,3,3,3,3,3,3,3,218
506,3,3,3,3,3,3,3,3,3,218
507,3,3,3,3,3,3,3,3,3,218
508,3,3,3,3,3,3,3,3,3,265
509,1,1,3,1,0,0,0,1,3,114
510,0,0,0,0,0,0,0,0,0,266
511,3,3,3,3,3,3,3,3,3,91
512,3,3,3,3,3,3,3,3,3,100
513,1,1,1,1,1,1,1,1,1,118
514,2,2,2,0,0,0,0,2,2,317
515,2,4,0,1,1,0,1,3,0,267
516,2,4,0,1,1,2,2,2,2,118
517,1,1,1,1,1,1,1,1,1,114
518,1,1,1,1,1,1,1,1,1,107
519,1,1,1,1,1,1,1,1,1,107
520,1,1,1,1,1,1,1,1,1,100
521,2,4,0,1,1,2,1,3,4,268
522,2,2,2,2,2,2,2,2,0,118
523,1,1,1,1,1,1,1,1,1,114
524,2,0,0,1,1,2,1,3,0,129
525,1,1,1,1,1,1,1,1,1,100
526,3,3,0,1,3,2,1,3,0,216
527,3,3,0,1,1,2,1,3,0,269
528,3,3,3,3,3,3,3,3,3,254
529,3,3,3,3,0,0,0,1,3,270
530,1,1,1,1,1,1,1,1,1,114
531,1,1,1,1,1,1,1,1,3,254
532,1,1,1,1,1,1,1,1,1,100
533,2,2,2,2,2,2,2,2,2,190
534,1,1,1,1,1,1,1,1,1,114
535,1,4,1,1,1,1,1,1,1,118
536,1,1,1,1,1,1,1,1,1,271
537,2,2,2,2,2,2,2,2,2,272
538,2,2,2,2,2,2,2,2,2,175
539,2,4,0,1,1,0,0,1,3,232
540,2,2,2,2,2,2,2,2,2,273
541,1,1,1,1,1,1,1,1,1,100
542,2,4,0,1,1,2,1,3,0,274
543,1,1,1,1,1,1,1,1,1,275
544,1,4,1,1,1,1,1,1,1,129
545,1,4,1,1,1,1,1,1,1,107
546,1,1,1,1,1,1,1,1,1,276
547,1,1,1,1,1,1,1,1,1,114
548,1,1,1,1,1,1,1,1,1,125
549,1,4,1,1,1,1,1,1,1,277
550,4,4,0,1,1,2,1,3,0,107
551,1,4,1,1,1,1,1,1,1,278
552,2,2,2,2,2,2,2,2,2,279
553,4,4,0,1,3,3,1,3,0,114
554,4,4,3,2,3,3,3,0,0,107
555,4,4,0,1,1,2,1,3,0,100
556,1,4,1,1,1,1,1,1,1,280
557,1,1,1,1,1,1,1,1,1,281
558,2,4,0,1,1,0,0,1,0,282
559,1,4,1,1,1,1,1,1,1,129
560,1,1,1,1,1,1,1,1,1,125
561,1,1,1,1,1,1,1,1,1,114
562,1,1,1,1,1,1,1,1,1,283
563,4,4,0,3,2,1,2,2,0,284
564,4,4,0,1,1,2,1,3,0,99
565,4,4,3,2,3,3,3,0,0,285
566,1,4,1,1,1,1,1,1,1,286
567,1,1,1,1,1,1,1,1,1,287
568,4,0,0,1,1,2,1,3,3,288
569,4,4,0,1,1,2,1,0,2,289
570,1,1,1,1,1,1,1,1,1,290
571,2,4,0,2,2,2,2,2,2,129
572,4,4,0,1,1,2,1,3,0,114
573,4,4,0,1,1,2,1,3,0,291
574,1,4,1,1,1,1,1,1,1,23
575,1,1,1,1,1,1,1,1,1,292
576,2,0,0,1,1,2,1,3,0,293
577,2,2,2,2,2,2,2,2,0,294
578,4,4,0,1,1,2,0,1,3,107
579,1,4,1,1,1,1,1,1,1,213
580,1,1,1,1,1,1,1,1,1,295
581,2,2,2,2,2,2,2,2,2,175
582,1,1,1,1,1,1,1,1,1,107
583,1,1,1,1,1,1,1,1,1,118
584,1,1,1,1,1,1,1,1,1,100
585,1,1,1,1,1,1,1,1,1,107
586,1,1,1,1,1,1,1,1,1,118
587,1,1,1,1,1,1,1,1,1,100
588,1,4,1,1,1,1,1,1,1,107
589,1,1,1,1,1,1,1,1,1,6
590,1,1,1,1,1,1,1,1,1,296
591,4,4,3,2,3,3,3,0,2,297
592,4,4,3,2,3,3,3,0,0,298
593,1,1,1,1,1,1,1,1,1,125
594,1,1,1,1,1,1,1,1,1,107
595,1,1,1,1,1,1,1,1,1,107
596,1,1,1,1,1,1,1,1,1,299
597,4,4,0,1,3,3,3,0,0,300
598,4,4,3,2,3,3,3,0,2,301
599,4,4,3,2,3,3,3,0,2,302
600,4,4,4,4,4,4,4,4,4,254
601,4,4,3,2,3,3,3,0,2,303
602,4,4,3,2,3,3,3,0,2,107
603,4,4,3,2,3,3,3,0,0,304
604,4,4,3,2,3,3,3,0,2,114
605,4,3,3,2,3,3,3,0,2,305
606,4,4,3,2,3,3,3,0,0,93
607,4,4,3,2,3,3,3,0,2,306
608,4,4,3,2,3,3,3,0,2,307
609,4,4,3,2,3,3,3,0,2,308
610,4,3,3,1,1,2,1,3,2,309
611,3,3,3,3,3,3,3,3,3,310
612,4,4,3,2,3,3,3,0,2,311
613,4,3,3,2,3,3,3,0,2,312
614,4,4,3,2,3,3,3,0,0,313
615,3,3,3,3,3,3,3,3,3,314
616,4,4,3,2,3,3,3,0,2,262
617,4,4,3,2,3,3,3,0,2,262
618,4,4,0,1,1,2,1,3,2,315
619,4,4,0,1,3,2,1,3,0,100
620,4,4,3,2,3,3,3,0,0,316
621,3,3,3,3,3,3,3,2,3,317
622,3,3,3,3,3,3,3,3,3,260
