"Character Id: 1444, Name: Storm"	Number of Issues: 4327					
issue_id	publish_year	publish_month	super_url	icon_url	super_url	icon_url
21679	1981	11	http://media.comicvine.com/uploads/0/4/19420-3092-21679-1-uncanny-x-men-the_super.jpg	http://media.comicvine.com/uploads/0/4/19420-3092-21679-1-uncanny-x-men-the_icon.jpg	19420-3092-21679-1-uncanny-x-men-the_super.jpg	19420-3092-21679-1-uncanny-x-men-the_icon.jpg
325544	1981	11	http://media.comicvine.com/uploads/9/96457/2268302-35_super.jpg	http://media.comicvine.com/uploads/9/96457/2268302-35_icon.jpg	2268302-35_super.jpg	2268302-35_icon.jpg
21752	1981	12	http://media.comicvine.com/uploads/0/4/19489-3092-21752-1-uncanny-x-men-the_super.jpg	http://media.comicvine.com/uploads/0/4/19489-3092-21752-1-uncanny-x-men-the_icon.jpg	19489-3092-21752-1-uncanny-x-men-the_super.jpg	19489-3092-21752-1-uncanny-x-men-the_icon.jpg
21801	1982	0	http://media.comicvine.com/uploads/0/4/19530-2865-21801-1-marvel-two-in-one-an_super.jpg	http://media.comicvine.com/uploads/0/4/19530-2865-21801-1-marvel-two-in-one-an_icon.jpg	19530-2865-21801-1-marvel-two-in-one-an_super.jpg	19530-2865-21801-1-marvel-two-in-one-an_icon.jpg
21875	1982	1	http://media.comicvine.com/uploads/0/4/19599-3092-21875-1-uncanny-x-men-the_super.jpg	http://media.comicvine.com/uploads/0/4/19599-3092-21875-1-uncanny-x-men-the_icon.jpg	19599-3092-21875-1-uncanny-x-men-the_super.jpg	19599-3092-21875-1-uncanny-x-men-the_icon.jpg
21866	1982	1	http://media.comicvine.com/uploads/0/4/19590-3008-21866-1-micronauts_super.jpg	http://media.comicvine.com/uploads/0/4/19590-3008-21866-1-micronauts_icon.jpg	19590-3008-21866-1-micronauts_super.jpg	19590-3008-21866-1-micronauts_icon.jpg
113270	1982	1	http://media.comicvine.com/uploads/0/40/169311-19011-113270-1-marvel-and-dc-presen_super.jpg	http://media.comicvine.com/uploads/0/40/169311-19011-113270-1-marvel-and-dc-presen_icon.jpg	169311-19011-113270-1-marvel-and-dc-presen_super.jpg	169311-19011-113270-1-marvel-and-dc-presen_icon.jpg
125901	1982	1	http://media.comicvine.com/uploads/1/15317/338391-21032-125901-1-spider-man-storm-and_super.jpg	http://media.comicvine.com/uploads/1/15317/338391-21032-125901-1-spider-man-storm-and_icon.jpg	338391-21032-125901-1-spider-man-storm-and_super.jpg	338391-21032-125901-1-spider-man-storm-and_icon.jpg
202015	1982	1	http://media.comicvine.com/uploads/4/48387/1165260-fant1_super.jpg	http://media.comicvine.com/uploads/4/48387/1165260-fant1_icon.jpg	1165260-fant1_super.jpg	1165260-fant1_icon.jpg
141651	1982	1	http://media.comicvine.com/uploads/2/29489/611106-crazy_82_super.jpg	http://media.comicvine.com/uploads/2/29489/611106-crazy_82_icon.jpg	611106-crazy_82_super.jpg	611106-crazy_82_icon.jpg
325545	1982	1	http://media.comicvine.com/uploads/9/96457/2268305-36_super.jpg	http://media.comicvine.com/uploads/9/96457/2268305-36_icon.jpg	2268305-36_super.jpg	2268305-36_icon.jpg
21952	1982	2	http://media.comicvine.com/uploads/0/4/19670-3092-21952-1-uncanny-x-men-the_super.jpg	http://media.comicvine.com/uploads/0/4/19670-3092-21952-1-uncanny-x-men-the_icon.jpg	19670-3092-21952-1-uncanny-x-men-the_super.jpg	19670-3092-21952-1-uncanny-x-men-the_icon.jpg
22027	1982	3	http://media.comicvine.com/uploads/0/4/19741-3092-22027-1-uncanny-x-men-the_super.jpg	http://media.comicvine.com/uploads/0/4/19741-3092-22027-1-uncanny-x-men-the_icon.jpg	19741-3092-22027-1-uncanny-x-men-the_super.jpg	19741-3092-22027-1-uncanny-x-men-the_icon.jpg
140483	1982	3	http://media.comicvine.com/uploads/0/229/585196-1_super.jpg	http://media.comicvine.com/uploads/0/229/585196-1_icon.jpg	585196-1_super.jpg	585196-1_icon.jpg
