"Character Id: 40454, Name: Hellion"	Number of Issues: 605					
issue_id	publish_year	publish_month	super_url	icon_url	super_url	icon_url
118499	2008	1	http://media.comicvine.com/uploads/0/40/243524-10731-118499-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/40/243524-10731-118499-1-x-men_icon.jpg	243524-10731-118499-1-x-men_super.jpg	243524-10731-118499-1-x-men_icon.jpg
119231	2008	2	http://media.comicvine.com/uploads/0/40/249605-3092-119231-1-the-uncanny-x-men_super.jpg	http://media.comicvine.com/uploads/0/40/249605-3092-119231-1-the-uncanny-x-men_icon.jpg	249605-3092-119231-1-the-uncanny-x-men_super.jpg	249605-3092-119231-1-the-uncanny-x-men_icon.jpg
120242	2008	2	http://media.comicvine.com/uploads/0/40/259011-18078-120242-1-new-x-men_super.jpg	http://media.comicvine.com/uploads/0/40/259011-18078-120242-1-new-x-men_icon.jpg	259011-18078-120242-1-new-x-men_super.jpg	259011-18078-120242-1-new-x-men_icon.jpg
121611	2008	3	http://media.comicvine.com/uploads/0/40/281680-18078-121611-1-new-x-men_super.jpg	http://media.comicvine.com/uploads/0/40/281680-18078-121611-1-new-x-men_icon.jpg	281680-18078-121611-1-new-x-men_super.jpg	281680-18078-121611-1-new-x-men_icon.jpg
245497	2011	2	http://media.comicvine.com/uploads/2/22664/1679519-cw__xmn_super.jpg	http://media.comicvine.com/uploads/2/22664/1679519-cw__xmn_icon.jpg	1679519-cw__xmn_super.jpg	1679519-cw__xmn_icon.jpg
127499	2008	4	http://media.comicvine.com/uploads/1/10390/356631-21203-127499-1-x-men-divided-we-st_super.JPG	http://media.comicvine.com/uploads/1/10390/356631-21203-127499-1-x-men-divided-we-st_icon.JPG	356631-21203-127499-1-x-men-divided-we-st_super.JPG	356631-21203-127499-1-x-men-divided-we-st_icon.JPG
106130	2006	12	http://media.comicvine.com/uploads/0/2292/93608-10746-106130-1-astonishing-x-men_super.jpg	http://media.comicvine.com/uploads/0/2292/93608-10746-106130-1-astonishing-x-men_icon.jpg	93608-10746-106130-1-astonishing-x-men_super.jpg	93608-10746-106130-1-astonishing-x-men_icon.jpg
137373	2008	11	http://media.comicvine.com/uploads/0/9241/528159-2mevg4z_super.jpg	http://media.comicvine.com/uploads/0/9241/528159-2mevg4z_icon.jpg	528159-2mevg4z_super.jpg	528159-2mevg4z_icon.jpg
138254	2006	9	http://media.comicvine.com/uploads/1/10069/536753-x_men_super.jpg	http://media.comicvine.com/uploads/1/10069/536753-x_men_icon.jpg	536753-x_men_super.jpg	536753-x_men_icon.jpg
189762	2008	2	http://media.comicvine.com/uploads/3/30405/1074279-es_super.jpg	http://media.comicvine.com/uploads/3/30405/1074279-es_icon.jpg	1074279-es_super.jpg	1074279-es_icon.jpg
139330	2008	11	http://media.comicvine.com/uploads/0/9241/556544-0002_super.jpg	http://media.comicvine.com/uploads/0/9241/556544-0002_icon.jpg	556544-0002_super.jpg	556544-0002_icon.jpg
292450	2005	12	http://media.comicvine.com/uploads/6/67397/2002882-117_super.jpg	http://media.comicvine.com/uploads/6/67397/2002882-117_icon.jpg	2002882-117_super.jpg	2002882-117_icon.jpg
138410	2008	11	http://media.comicvine.com/uploads/0/9241/537785-0003_super.jpg	http://media.comicvine.com/uploads/0/9241/537785-0003_icon.jpg	537785-0003_super.jpg	537785-0003_icon.jpg
148690	2007	12	http://media.comicvine.com/uploads/0/9338/656936-386px_x_men_messiah_complex_mutant_files_vol_1_1_super.jpg	http://media.comicvine.com/uploads/0/9338/656936-386px_x_men_messiah_complex_mutant_files_vol_1_1_icon.jpg	656936-386px_x_men_messiah_complex_mutant_files_vol_1_1_super.jpg	656936-386px_x_men_messiah_complex_mutant_files_vol_1_1_icon.jpg
111339	2007	9	http://media.comicvine.com/uploads/0/3664/146793-18671-111339-1-new-warriors_super.jpg	http://media.comicvine.com/uploads/0/3664/146793-18671-111339-1-new-warriors_icon.jpg	146793-18671-111339-1-new-warriors_super.jpg	146793-18671-111339-1-new-warriors_icon.jpg
151428	2008	10	http://media.comicvine.com/uploads/0/1867/701806-muaz5_super.jpg	http://media.comicvine.com/uploads/0/1867/701806-muaz5_icon.jpg	701806-muaz5_super.jpg	701806-muaz5_icon.jpg
106274	2005	6	http://media.comicvine.com/uploads/0/77/89191-18078-106274-1-new-x-men-vol-2_super.jpg	http://media.comicvine.com/uploads/0/77/89191-18078-106274-1-new-x-men-vol-2_icon.jpg	89191-18078-106274-1-new-x-men-vol-2_super.jpg	89191-18078-106274-1-new-x-men-vol-2_icon.jpg
106293	2005	9	http://media.comicvine.com/uploads/0/77/89413-18078-106293-1-new-x-men-vol-2_super.jpg	http://media.comicvine.com/uploads/0/77/89413-18078-106293-1-new-x-men-vol-2_icon.jpg	89413-18078-106293-1-new-x-men-vol-2_super.jpg	89413-18078-106293-1-new-x-men-vol-2_icon.jpg
108406	2003	12	http://media.comicvine.com/uploads/0/77/107340-18351-108406-1-new-mutants_super.jpg	http://media.comicvine.com/uploads/0/77/107340-18351-108406-1-new-mutants_icon.jpg	107340-18351-108406-1-new-mutants_super.jpg	107340-18351-108406-1-new-mutants_icon.jpg
108413	2004	6	http://media.comicvine.com/uploads/0/77/107376-18351-108413-1-new-mutants_super.jpg	http://media.comicvine.com/uploads/0/77/107376-18351-108413-1-new-mutants_icon.jpg	107376-18351-108413-1-new-mutants_super.jpg	107376-18351-108413-1-new-mutants_icon.jpg
111708	2007	9	http://media.comicvine.com/uploads/0/5656/154922-18786-111708-1-world-war-hulk-x-me_super.jpg	http://media.comicvine.com/uploads/0/5656/154922-18786-111708-1-world-war-hulk-x-me_icon.jpg	154922-18786-111708-1-world-war-hulk-x-me_super.jpg	154922-18786-111708-1-world-war-hulk-x-me_icon.jpg
113957	2007	10	http://media.comicvine.com/uploads/0/787/184252-18786-113957-1-world-war-hulk-x-me_super.jpg	http://media.comicvine.com/uploads/0/787/184252-18786-113957-1-world-war-hulk-x-me_icon.jpg	184252-18786-113957-1-world-war-hulk-x-me_super.jpg	184252-18786-113957-1-world-war-hulk-x-me_icon.jpg
106677	2006	4	http://media.comicvine.com/uploads/0/1013/93927-10746-106677-1-astonishing-x-men_super.jpg	http://media.comicvine.com/uploads/0/1013/93927-10746-106677-1-astonishing-x-men_icon.jpg	93927-10746-106677-1-astonishing-x-men_super.jpg	93927-10746-106677-1-astonishing-x-men_icon.jpg
153653	2009	5	http://media.comicvine.com/uploads/0/9241/746702-001_super.jpg	http://media.comicvine.com/uploads/0/9241/746702-001_icon.jpg	746702-001_super.jpg	746702-001_icon.jpg
153210	2008	11	http://media.comicvine.com/uploads/3/35376/730019-marvel7page1_25_1_super.jpg	http://media.comicvine.com/uploads/3/35376/730019-marvel7page1_25_1_icon.jpg	730019-marvel7page1_25_1_super.jpg	730019-marvel7page1_25_1_icon.jpg
158856	2009	7	http://media.comicvine.com/uploads/3/37912/820367-mollifest_super.jpg	http://media.comicvine.com/uploads/3/37912/820367-mollifest_icon.jpg	820367-mollifest_super.jpg	820367-mollifest_icon.jpg
