"Character Id: 1464, Name: Iceman"	Number of Issues: 3517						
issue_id	publish_year	publish_month	publish_day	super_url	icon_url	super_url	icon_url
10002	1969	1	-1	http://media.comicvine.com/uploads/0/4/9051-2133-10002-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/9051-2133-10002-1-x-men_icon.jpg	9051-2133-10002-1-x-men_super.jpg	9051-2133-10002-1-x-men_icon.jpg
9987	1969	1	-1	http://media.comicvine.com/uploads/0/4/9036-2128-9987-1-avengers-the_super.jpg	http://media.comicvine.com/uploads/0/4/9036-2128-9987-1-avengers-the_icon.jpg	9036-2128-9987-1-avengers-the_super.jpg	9036-2128-9987-1-avengers-the_icon.jpg
10056	1969	2	-1	http://media.comicvine.com/uploads/0/4/9105-2133-10056-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/9105-2133-10056-1-x-men_icon.jpg	9105-2133-10056-1-x-men_super.jpg	9105-2133-10056-1-x-men_icon.jpg
10107	1969	3	-1	http://media.comicvine.com/uploads/0/4/9152-2133-10107-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/9152-2133-10107-1-x-men_icon.jpg	9152-2133-10107-1-x-men_super.jpg	9152-2133-10107-1-x-men_icon.jpg
10163	1969	4	-1	http://media.comicvine.com/uploads/0/4/9203-2133-10163-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/9203-2133-10163-1-x-men_icon.jpg	9203-2133-10163-1-x-men_super.jpg	9203-2133-10163-1-x-men_icon.jpg
10160	1969	4	-1	http://media.comicvine.com/uploads/0/4/9200-2411-10160-1-silver-surfer-the_super.jpg	http://media.comicvine.com/uploads/0/4/9200-2411-10160-1-silver-surfer-the_icon.jpg	9200-2411-10160-1-silver-surfer-the_super.jpg	9200-2411-10160-1-silver-surfer-the_icon.jpg
10215	1969	5	-1	http://media.comicvine.com/uploads/0/4/9252-2133-10215-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/9252-2133-10215-1-x-men_icon.jpg	9252-2133-10215-1-x-men_super.jpg	9252-2133-10215-1-x-men_icon.jpg
10270	1969	6	-1	http://media.comicvine.com/uploads/0/4/9303-2133-10270-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/9303-2133-10270-1-x-men_icon.jpg	9303-2133-10270-1-x-men_super.jpg	9303-2133-10270-1-x-men_icon.jpg
10268	1969	6	-1	http://media.comicvine.com/uploads/0/4/9301-2413-10268-1-sub-mariner_super.jpg	http://media.comicvine.com/uploads/0/4/9301-2413-10268-1-sub-mariner_icon.jpg	9301-2413-10268-1-sub-mariner_super.jpg	9301-2413-10268-1-sub-mariner_icon.jpg
10317	1969	7	-1	http://media.comicvine.com/uploads/0/4/9347-2133-10317-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/9347-2133-10317-1-x-men_icon.jpg	9347-2133-10317-1-x-men_super.jpg	9347-2133-10317-1-x-men_icon.jpg
