Logan's Run (1976),Michael Anderson,Michael York,Jenny Agutter,Richard Jordan,Roscoe Lee Browne,
Star Wars (1977),George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,
Superman (1978),Richard Donner,Christopher Reeve,Margot Kidder,Gene Hackman,Marlon Brando,
Alien (1979),Ridley Scott,Sigourney Weaver,Tom Skerritt,John Hurt,Veronica Cartwright,
Upside Down (2012),Juan Solanas,Jim Sturgess,Kirsten Dunst,Timothy Spall,Blu Mankuma,
Airplane II: The Sequel (1982),Ken Finkleman,Robert Hays,Julie Hagerty,Lloyd Bridges,Raymond Burr,
Blue Thunder (1983),John Badham,Roy Scheider,Warren Oates,Candy Clark,Daniel Stern,
The Entity (1982),Sidney J. Furie,Barbara Hershey,Ron Silver,David Labiosa,George Coe,
The Man with Two Brains (1983),Carl Reiner,Steve Martin,Kathleen Turner,David Warner,Paul Benedict,
The Right Stuff (1983),Philip Kaufman,Sam Shepard,Scott Glenn,Ed Harris,Dennis Quaid,
2010 (1984),Peter Hyams,Roy Scheider,John Lithgow,Helen Mirren,Bob Balaban,
The Last Starfighter (1984),Nick Castle,Lance Guest,Robert Preston,Kay E. Kuter,Dan Mason,
Night of the Comet (1984),Thom Eberhardt,Catherine Mary Stewart,Kelli Maroney,Robert Beltran,Sharon Farrell,
Starman (1984),John Carpenter,Jeff Bridges,Karen Allen,Charles Martin Smith,Richard Jaeckel,
D.A.R.Y.L. (1985),Simon Wincer,Mary Beth Hurt,Michael McKean,Kathryn Walker,Colleen Camp,
Enemy Mine (1985),Wolfgang Petersen,Dennis Quaid,Louis Gossett Jr.,Brion James,Richard Marcus,
My Science Project (1985),Jonathan R. Betuel,John Stockwell,Danielle von Zerneck,Fisher Stevens,Raphael Sbarge,
Real Genius (1985),Martha Coolidge,Val Kilmer,Gabriel Jarret,Michelle Meyrink,William Atherton,
The Return of the Living Dead (1985),Dan O'Bannon,Clu Gulager,James Karen,Don Calfa,Thom Mathews,
Critters (1986),Stephen Herek,Dee Wallace,M. Emmet Walsh,Billy Green Bush,Scott Grimes,
Howard the Duck (1986),Willard Huyck,Lea Thompson,Jeffrey Jones,Tim Robbins,Ed Gale,
Maximum Overdrive (1986),Stephen King,Emilio Estevez,Pat Hingle,Laura Harrington,Yeardley Smith,
Solarbabies (1986),Alan Johnson,Richard Jordan,Jami Gertz,Jason Patric,Lukas Haas,
SpaceCamp (1986),Harry Winer,Kate Capshaw,Lea Thompson,Kelly Preston,Larry B. Scott,
The Transformers: The Movie (1986),Nelson Shin,Orson Welles,Robert Stack,Leonard Nimoy,Norman Alden,
*batteries not included (1987),Matthew Robbins,Hume Cronyn,Jessica Tandy,Frank McRae,Elizabeth Pe–a,
The Hidden (1987),Jack Sholder,Kyle MacLachlan,Michael Nouri,Claudia Christian,Clarence Felder,
Masters of the Universe (1987),Gary Goddard,Dolph Lundgren,Frank Langella,Meg Foster,Billy Barty,
The Monster Squad (1987),Fred Dekker,Andre Gower,Robby Kiger,Stephen Macht,Duncan Regehr,
Project X (1987),Jonathan Kaplan,Matthew Broderick,Helen Hunt,Willie,Okko,
Alien Nation (1988),Graham Baker,James Caan,Mandy Patinkin,Terence Stamp,Kevyn Major Howard,
The Blob (1988),Chuck Russell,Shawnee Smith,Kevin Dillon,Donovan Leitch Jr.,Jeffrey DeMunn,
